Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;LegendoftheGalacticHeroes-GingaEiyuuDensetsu;Ginga Eiyuu Densetsu- Novo;;\\192.168.0.99\Media\Anime-Cartoon\LegendoftheGalacticHeroes-GingaEiyuuDensetsu\Ginga Eiyuu Densetsu- Novo;63,65;48;48
\\192.168.0.99\Media\;Anime-Cartoon;Nana [BD 1080p FLAC];;;\\192.168.0.99\Media\Anime-Cartoon\Nana [BD 1080p FLAC];42,93;47;47
\\192.168.0.99\Media\;Anime-Cartoon;SteinsGate;S01;;\\192.168.0.99\Media\Anime-Cartoon\SteinsGate\S01;40,91;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Sousou no Frieren;;;\\192.168.0.99\Media\Anime-Cartoon\Sousou no Frieren;39,55;28;28
\\192.168.0.99\Media\;Anime-Cartoon;SpyxFamily;SPYxFAMILY-S01WEBmultilangs;;\\192.168.0.99\Media\Anime-Cartoon\SpyxFamily\SPYxFAMILY-S01WEBmultilangs;37,45;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Souten Kouro [BD][1080P];;;\\192.168.0.99\Media\Anime-Cartoon\Souten Kouro [BD][1080P];35,76;26;26
\\192.168.0.99\Media\;Anime-Cartoon;Kimetsu.no.Yaiba;S03 Yuukaku Hen;;\\192.168.0.99\Media\Anime-Cartoon\Kimetsu.no.Yaiba\S03 Yuukaku Hen;33,21;22;22
\\192.168.0.99\Media\;series;Dark.Matter.2024;;;\\192.168.0.99\Media\series\Dark.Matter.2024;31,86;8;8
\\192.168.0.99\Media\;Anime-Cartoon;Shangri-La Frontier;;;\\192.168.0.99\Media\Anime-Cartoon\Shangri-La Frontier;31,33;22;22
\\192.168.0.99\Media\;Anime-Cartoon;Konpeki no Kantai [BDRip 1080p];;;\\192.168.0.99\Media\Anime-Cartoon\Konpeki no Kantai [BDRip 1080p];30,77;15;15
\\192.168.0.99\Media\;Anime-Cartoon;Dr. Stone;[Erai-raws] Dr. Stone - 01 ~ 24 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Dr. Stone\[Erai-raws] Dr. Stone - 01 ~ 24 [1080p][Multiple Subtitle];30,18;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Dr. Stone;Dr. Stone - New World;;\\192.168.0.99\Media\Anime-Cartoon\Dr. Stone\Dr. Stone - New World;30,1;22;22
\\192.168.0.99\Media\;series;Yumis.Cells;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];;\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];29,12;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Fumetsu no Anata E;;;\\192.168.0.99\Media\Anime-Cartoon\Fumetsu no Anata E;28,44;20;20
