Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
SIM;6774,72;SPY.x.FAMILY.CODE.White.2023.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;SPY.x.FAMILY.CODE.White.2023.1080p.H265.mkv;Anime-Cartoon;/mnt/Media/Anime-Cartoon/SPY.x.FAMILY.CODE.White.2023.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
SIM;6344,10;[Erai-raws] Spy x Family - Code White - Movie [1080p][Multiple Subtitle][933F62BF].mkv;Spy.x.Family.1080p.H265.mkv;Anime-Cartoon;/mnt/Media/Anime-Cartoon/[Erai-raws] Spy x Family - Code White - Movie [1080p][Multiple Subtitle][933F62BF].mkv
SIM;6063,16;[Erai-raws] Sayonara Watashi no Cramer - First Touch [1080p][Multiple Subtitle].mkv;Sayonara.Watashi.no.Cramer.1080p.H265.mkv;Sayonara Watashi no Cramer;/mnt/Media/Anime-Cartoon/Sayonara Watashi no Cramer/[Erai-raws] Sayonara Watashi no Cramer - First Touch [1080p][Multiple Subtitle].mkv
SIM;5865,72;[Erai-raws] Sword Art Online - Progressive - Kuraki Yuuyami no Scherzo [1080p][Multiple Subtitle][52E1B274].mkv;Sword.Art.Online.1080p.H265.mkv;SwordArtOnLine;/mnt/Media/Anime-Cartoon/SwordArtOnLine/[Erai-raws] Sword Art Online - Progressive - Kuraki Yuuyami no Scherzo [1080p][Multiple Subtitle][52E1B274].mkv
SIM;5660,74;[Erai-raws] Sword Art Online - Progressive - Hoshinaki Yoru no Aria [1080p][Multiple Subtitle][3BC331CE].mkv;Sword.Art.Online.1080p.H265.mkv;SwordArtOnLine;/mnt/Media/Anime-Cartoon/SwordArtOnLine/[Erai-raws] Sword Art Online - Progressive - Hoshinaki Yoru no Aria [1080p][Multiple Subtitle][3BC331CE].mkv
SIM;5538,91;HAIKYU.The.Dumpster.Battle.2024.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;HAIKYU.The.Dumpster.Battle.2024.1080p.H265.mkv;Anime-Cartoon;/mnt/Media/Anime-Cartoon/HAIKYU.The.Dumpster.Battle.2024.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
SIM;5133,51;[DragsterPS] A Certain Magical Index - The Movie - The Miracle of Endymion [1080p] [English-Japanese Audio] [Multi-Subs] [247701F2].mkv;A.Certain.Magical.Index.1080p.H265.mkv;A Certain;/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Magical Index - The Movie - The Miracle of Endymion [1080p] [English-Japanese Audio] [Multi-Subs] [247701F2].mkv
SIM;4326,19;[Erai-raws] Sword Art Online - Extra Edition [1080p][Multiple Subtitle].mkv;Sword.Art.Online.1080p.H265.mkv;SwordArtOnLine;/mnt/Media/Anime-Cartoon/SwordArtOnLine/[Erai-raws] Sword Art Online - Extra Edition [1080p][Multiple Subtitle].mkv
SIM;3823,53;[Erai-raws] Gekijouban Soushuuhen Haikyuu!! - Sainou to Sense [1080p][Multiple Subtitle] (1).mkv;Gekijouban.Soushuuhen.Haikyuu!!.1080p.H265.mkv;Filmes;/mnt/Media/Anime-Cartoon/Haikyuu!!/Filmes/[Erai-raws] Gekijouban Soushuuhen Haikyuu!! - Sainou to Sense [1080p][Multiple Subtitle] (1).mkv
SIM;3510,13;[Erai-raws] Kimetsu no Yaiba - Mugen Ressha Hen [BD 720p] (1).mkv;Kimetsu.no.Yaiba.720p.H265.mkv;S02 Mugen Ressha Hen;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/S02 Mugen Ressha Hen/[Erai-raws] Kimetsu no Yaiba - Mugen Ressha Hen [BD 720p] (1).mkv
SIM;2771,16;[Erai-raws] Hibike! Euphonium 2 - 01 [1080p][Multiple Subtitle].mkv;Hibike!.Euphonium.2.E01.1080p.H265.mkv;[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/Hibike! Euphonium/[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle]/[Erai-raws] Hibike! Euphonium 2 - 01 [1080p][Multiple Subtitle].mkv
SIM;2723,09;[Erai-raws] Kimetsu no Yaiba - Yuukaku Hen - 01 [1080p][Multiple Subtitle][502B2B16].mkv;Kimetsu.no.Yaiba.E01.1080p.H265.mkv;S03 Yuukaku Hen;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/S03 Yuukaku Hen/[Erai-raws] Kimetsu no Yaiba - Yuukaku Hen - 01 [1080p][Multiple Subtitle][502B2B16].mkv
SIM;2720,87;Kimetsu_no_Yaiba_-_Yuukaku-hen_01_[1920x1080][8bit].mkv;Kimetsu.no.Yaiba.E01.1080p.H265.mkv;S03 Yuukaku Hen;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/S03 Yuukaku Hen/Kimetsu_no_Yaiba_-_Yuukaku-hen_01_[1920x1080][8bit].mkv
SIM;2674,14;SteinsGate-24FINAL.mkv;SteinsGate-24FINAL.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-24FINAL.mkv
SIM;2589,77;Gyakusatsu Kikan [1080p].mp4;Gyakusatsu.Kikan.1080p.H265.mp4;Anime-Cartoon;/mnt/Media/Anime-Cartoon/Gyakusatsu Kikan [1080p].mp4
SIM;2449,56;[kade16] Konpeki no Kantai - 03 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E03.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 03 - [BDRip 1080p].mkv
SIM;2428,29;Yukikaze 01 [BD][720p][AniMercosul][0D5BACCB].mkv;Yukikaze.E01.720p.H265.mkv;Yukikaze [720p];/mnt/Media/Anime-Cartoon/Yukikaze [720p]/Yukikaze 01 [BD][720p][AniMercosul][0D5BACCB].mkv
SIM;2419,28;[kade16] Konpeki no Kantai - 05 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E05.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 05 - [BDRip 1080p].mkv
SIM;2415,00;[kade16] Konpeki no Kantai - 04 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E04.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 04 - [BDRip 1080p].mkv
SIM;2316,41;[Levantine Fansub] K-ON! Movie [BD] [1080p] [x264] [AAC] [AB2F6387].mkv;K-ON!.Movie.1080p.H265.mkv;[PA] K-On!!;/mnt/Media/Anime-Cartoon/K-On/[PA] K-On!!/[Levantine Fansub] K-ON! Movie [BD] [1080p] [x264] [AAC] [AB2F6387].mkv
NAO;2299,06;[kade16] Konpeki no Kantai - 01 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E01.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 01 - [BDRip 1080p].mkv
NAO;2297,76;Yukikaze 05 [BD][720p][AniMercosul][315FACE6].mkv;Yukikaze.E05.720p.H265.mkv;Yukikaze [720p];/mnt/Media/Anime-Cartoon/Yukikaze [720p]/Yukikaze 05 [BD][720p][AniMercosul][315FACE6].mkv
NAO;2297,58;[kade16] Konpeki no Kantai - 02 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E02.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 02 - [BDRip 1080p].mkv
NAO;2292,00;SteinsGate-19.mkv;SteinsGate.E19.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-19.mkv
NAO;2238,70;[kade16] Konpeki no Kantai - 06 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E06.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 06 - [BDRip 1080p].mkv
NAO;2210,57;SteinsGate-23.mkv;SteinsGate.E23.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-23.mkv
NAO;2177,13;[kade16] Konpeki no Kantai - 08 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E08.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 08 - [BDRip 1080p].mkv
NAO;2150,87;SteinsGate-22.mkv;SteinsGate.E22.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-22.mkv
NAO;2143,87;[kade16] Konpeki no Kantai - 11 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E11.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 11 - [BDRip 1080p].mkv
NAO;2039,99;[kade16] Konpeki no Kantai - 07 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E07.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 07 - [BDRip 1080p].mkv
NAO;2037,14;[kade16] Konpeki no Kantai - 09 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E09.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 09 - [BDRip 1080p].mkv
NAO;1972,77;[kade16] Konpeki no Kantai - 10 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E10.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 10 - [BDRip 1080p].mkv
NAO;1933,82;[kade16] Konpeki no Kantai - 12 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E12.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 12 - [BDRip 1080p].mkv
NAO;1931,06;SteinsGate-17.mkv;SteinsGate.E17.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-17.mkv
NAO;1903,61;Yukikaze 02 [BD][720p][AniMercosul][B1BA70B2].mkv;Yukikaze.E02.720p.H265.mkv;Yukikaze [720p];/mnt/Media/Anime-Cartoon/Yukikaze [720p]/Yukikaze 02 [BD][720p][AniMercosul][B1BA70B2].mkv
NAO;1884,18;[Erai-raws] Kimetsu no Yaiba - Yuukaku Hen - 11 END [1080p][Multiple Subtitle][585ABB54].mkv;Kimetsu.no.Yaiba.E11.1080p.H265.mkv;S03 Yuukaku Hen;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/S03 Yuukaku Hen/[Erai-raws] Kimetsu no Yaiba - Yuukaku Hen - 11 END [1080p][Multiple Subtitle][585ABB54].mkv
NAO;1877,14;Kimetsu_no_Yaiba_-_Yuukaku-hen_11_Final_[1920x1080][8Bit].mkv;Kimetsu.no.Yaiba.E11.1080p.H265.mkv;S03 Yuukaku Hen;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/S03 Yuukaku Hen/Kimetsu_no_Yaiba_-_Yuukaku-hen_11_Final_[1920x1080][8Bit].mkv
NAO;1827,18;Yukikaze 03 [BD][720p][AniMercosul][8ECD9C13].mkv;Yukikaze.E03.720p.H265.mkv;Yukikaze [720p];/mnt/Media/Anime-Cartoon/Yukikaze [720p]/Yukikaze 03 [BD][720p][AniMercosul][8ECD9C13].mkv
NAO;1776,48;Yukikaze 04 [BD][720p][AniMercosul][6FB8535F].mkv;Yukikaze.E04.720p.H265.mkv;Yukikaze [720p];/mnt/Media/Anime-Cartoon/Yukikaze [720p]/Yukikaze 04 [BD][720p][AniMercosul][6FB8535F].mkv
NAO;1764,55;SteinsGate-14.mkv;SteinsGate.E14.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-14.mkv
NAO;1748,62;[EA]Rakudai_Kishi_no_Cavalry_04_[1920x1080][BDRIP][Hi10p][787ADAF2].mkv;Rakudai.Kishi.no.Cavalry.E04.1080p.H265.mkv;Rakudai Kishi no Cavalry [1080p][BD];/mnt/Media/Anime-Cartoon/Rakudai Kishi no Cavalry [1080p][BD]/[EA]Rakudai_Kishi_no_Cavalry_04_[1920x1080][BDRIP][Hi10p][787ADAF2].mkv
NAO;1744,04;SteinsGate-18.mkv;SteinsGate.E18.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-18.mkv
NAO;1735,60;SteinsGate-16.mkv;SteinsGate.E16.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-16.mkv
NAO;1730,39;SteinsGate-15.mkv;SteinsGate.E15.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-15.mkv
NAO;1728,56;SteinsGate-21.mkv;SteinsGate.E21.1080p.H265.mkv;S01;/mnt/Media/Anime-Cartoon/SteinsGate/S01/SteinsGate-21.mkv
NAO;1727,22;[kade16] Konpeki no Kantai - 15 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E15.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 15 - [BDRip 1080p].mkv
NAO;1695,29;[EA]Rakudai_Kishi_no_Cavalry_07_[1920x1080][BDRIP][Hi10p][FED430D4].mkv;Rakudai.Kishi.no.Cavalry.E07.1080p.H265.mkv;Rakudai Kishi no Cavalry [1080p][BD];/mnt/Media/Anime-Cartoon/Rakudai Kishi no Cavalry [1080p][BD]/[EA]Rakudai_Kishi_no_Cavalry_07_[1920x1080][BDRIP][Hi10p][FED430D4].mkv
NAO;1690,20;[kade16] Konpeki no Kantai - 13 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E13.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 13 - [BDRip 1080p].mkv
NAO;1687,90;Miraculous World Nova Iorque, Heróis Unidos -1080p-.mkv;Miraculous.World.Nova.Iorque,.Heróis.Unidos.1080p.H265.mkv;MiraculousWorld;/mnt/Media/Anime-Cartoon/Miraculous.Tales.of.Ladybug.and.Cat.Noir/MiraculousWorld/Miraculous World Nova Iorque, Heróis Unidos -1080p-.mkv
NAO;1686,03;[EA]Rakudai_Kishi_no_Cavalry_01_[1920x1080][BDRIP][Hi10p][88429687].mkv;Rakudai.Kishi.no.Cavalry.E01.1080p.H265.mkv;Rakudai Kishi no Cavalry [1080p][BD];/mnt/Media/Anime-Cartoon/Rakudai Kishi no Cavalry [1080p][BD]/[EA]Rakudai_Kishi_no_Cavalry_01_[1920x1080][BDRIP][Hi10p][88429687].mkv
NAO;1664,87;[EA]Rakudai_Kishi_no_Cavalry_08_[1920x1080][BDRIP][Hi10p][79E99149].mkv;Rakudai.Kishi.no.Cavalry.E08.1080p.H265.mkv;Rakudai Kishi no Cavalry [1080p][BD];/mnt/Media/Anime-Cartoon/Rakudai Kishi no Cavalry [1080p][BD]/[EA]Rakudai_Kishi_no_Cavalry_08_[1920x1080][BDRIP][Hi10p][79E99149].mkv
NAO;1663,52;[kade16] Konpeki no Kantai - 14 - [BDRip 1080p].mkv;Konpeki.no.Kantai.E14.1080p.H265.mkv;Konpeki no Kantai [BDRip 1080p];/mnt/Media/Anime-Cartoon/Konpeki no Kantai [BDRip 1080p]/[kade16] Konpeki no Kantai - 14 - [BDRip 1080p].mkv
NAO;1652,08;[Infinite Fansub] Ore no Kanojo to Osananajimi ga Shuraba Sugiru - 08 (Blu-Ray - 1080px).mkv;Ore.no.Kanojo.to.Osananajimi.ga.Shuraba.Sugiru.E08.1080p.H265.mkv;Ore no Kanojo to Osananajimi ga Shuraba Sugiru;/mnt/Media/Anime-Cartoon/Ore no Kanojo to Osananajimi ga Shuraba Sugiru/[Infinite Fansub] Ore no Kanojo to Osananajimi ga Shuraba Sugiru - 08 (Blu-Ray - 1080px).mkv
NAO;1623,15;Solo.Leveling.S01E02.If.I.Had.One.More.Chance.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E02.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E02.If.I.Had.One.More.Chance.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1622,80;Solo.Leveling.S01E12.Arise.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E12.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E12.Arise.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1622,67;Solo.Leveling.S01E11.A.Knight.Who.Defends.an.Empty.Throne.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E11.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E11.A.Knight.Who.Defends.an.Empty.Throne.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1622,42;Solo.Leveling.S01E05.A.Pretty.Good.Deal.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E05.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E05.A.Pretty.Good.Deal.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1622,22;Solo.Leveling.S01E06.The.Real.Hunt.Begins.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E06.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E06.The.Real.Hunt.Begins.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1621,32;Solo.Leveling.S01E08.This.Is.Frustrating.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E08.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E08.This.Is.Frustrating.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1621,14;Solo.Leveling.S01E09.Youve.Been.Hiding.Your.Skills.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E09.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E09.Youve.Been.Hiding.Your.Skills.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1620,80;[Erai-raws] Dr. Stone - Ryuusui - Special [720p][Multiple Subtitle][BE3CF44A].mkv;Dr.Stone.720p.H265.mkv;Dr. Stone;/mnt/Media/Anime-Cartoon/Dr. Stone/[Erai-raws] Dr. Stone - Ryuusui - Special [720p][Multiple Subtitle][BE3CF44A].mkv
NAO;1620,48;Solo.Leveling.S01E10.What.Is.This.a.Picnic.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S01E10.1080p.H265.mkv;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S01E10.What.Is.This.a.Picnic.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1620,08;Solo.Leveling.S02E01.You.Arent.E-Rank.Are.You.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S02E01.1080p.H265.mkv;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S02E01.You.Arent.E-Rank.Are.You.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1619,61;Solo.Leveling.S02E11.Its.Going.to.Get.Even.More.Intense.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S02E11.1080p.H265.mkv;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S02E11.Its.Going.to.Get.Even.More.Intense.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1619,42;Solo.Leveling.S02E07.The.10th.S-Rank.Hunter.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S02E07.1080p.H265.mkv;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S02E07.The.10th.S-Rank.Hunter.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1618,83;Solo.Leveling.S02E08.Looking.Up.Was.Tiring.Me.Out.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S02E08.1080p.H265.mkv;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S02E08.Looking.Up.Was.Tiring.Me.Out.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
NAO;1618,78;Solo.Leveling.S02E03.Still.a.Long.Way.to.Go.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv;Solo.Leveling.S02E03.1080p.H265.mkv;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;/mnt/Media/Anime-Cartoon/Solo Leveing/Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub/Solo.Leveling.S02E03.Still.a.Long.Way.to.Go.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub.mkv
