Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
SIM;14206,09;Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN.mkv;Sound.Of.Freedom.2023.1080p.H265.mkv;Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN;/mnt/Media/filmes/2023/Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN/Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN.mkv
SIM;12035,29;Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD (1).mkv;Rain.Fall.2009.1080p.H265.mkv;Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD;/mnt/Media/filmes/OLD/Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD/Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD (1).mkv
SIM;10637,20;Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi.mkv;Kiki_s.Delivery.Service.2014.1080p.H265.mkv;Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi;/mnt/Media/filmes/Asian/Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi/Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi.mkv
SIM;8956,03;Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE (1).mkv;Sympathy.For.Mr.Vengeance.2002.1080p.H265.mkv;Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE;/mnt/Media/filmes/Asian/Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE/Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE (1).mkv
SIM;8953,04;oblivion.2013.1080p.bluray.x264-sparks.mkv;oblivion.2013.1080p.H265.mkv;Oblivion.2013.1080p.BluRay.x264-SPARKS;/mnt/Media/filmes/OLD/Oblivion.2013.1080p.BluRay.x264-SPARKS/oblivion.2013.1080p.bluray.x264-sparks.mkv
SIM;7079,73;Damsel.2024.1080p.WEB-DL.DDP.5.1.H264-REVILS.mkv;Damsel.2024.1080p.H265.mkv;Damsel 2024 1080p MULTI WEB-DL H264-REVILS;/mnt/Media/filmes/Damsel 2024 1080p MULTI WEB-DL H264-REVILS/Damsel.2024.1080p.WEB-DL.DDP.5.1.H264-REVILS.mkv
SIM;5926,29;Encanto.2021.1080p.DSNP.WEB-DL.DDPA5.1.H.264-MZABI.mkv;Encanto.2021.1080p.H265.mkv;Encanto.2021.1080p.DSNP.WEBRip.DDP5.1.Atmos.x264-MZABI;/mnt/Media/filmes/2021/Encanto.2021.1080p.DSNP.WEBRip.DDP5.1.Atmos.x264-MZABI/Encanto.2021.1080p.DSNP.WEB-DL.DDPA5.1.H.264-MZABI.mkv
SIM;5784,76;Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT.mkv;Blade.Runner.2049.2017.1080p.H265.mkv;Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT;/mnt/Media/filmes/2017/Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT/Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT.mkv
SIM;5390,32;The.Ritual.Killer.2023.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG.mkv;The.Ritual.Killer.2023.1080p.H265.mkv;The.Ritual.Killer.2023.1080p.AMZN.WEBRip.DDP5.1.x264-CM;/mnt/Media/filmes/2023/The.Ritual.Killer.2023.1080p.AMZN.WEBRip.DDP5.1.x264-CM/The.Ritual.Killer.2023.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG.mkv
SIM;5280,08;Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT.mkv;Thor.Ragnarok.2017.1080p.H265.mkv;Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT;/mnt/Media/filmes/Franquias/Marvel-DC/Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT/Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT.mkv
