Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
SIM;4752,50;foundation.s02e09.1080p.web.h264-successfulcrab.mkv;foundation.S02E09.1080p.H265.mkv;Foundation.S02E09.1080p.WEB.H264-SuccessfulCrab[TGx];\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\Foundation.S02E09.1080p.WEB.H264-SuccessfulCrab[TGx]\foundation.s02e09.1080p.web.h264-successfulcrab.mkv
SIM;4678,66;Foundation.S02E08.1080p.WEB.h264-ETHEL.mkv;Foundation.S02E08.1080p.H265.mkv;Foundation.S02E08.1080p.WEB.h264-ETHEL[TGx];\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\Foundation.S02E08.1080p.WEB.h264-ETHEL[TGx]\Foundation.S02E08.1080p.WEB.h264-ETHEL.mkv
SIM;4654,80;Dark Matter 2024 S01E04 The Corridor 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv;Dark.Matter.2024.S01E04.1080p.H265.mkv;Dark.Matter.2024;\\192.168.0.99\Media\series\Dark.Matter.2024\Dark Matter 2024 S01E04 The Corridor 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv
SIM;4557,88;dark.matter.2024.s01e09.1080p.web.h264-successfulcrab.mkv;dark.matter.2024.S01E09.1080p.H265.mkv;Dark.Matter.2024.S01E09.1080p.WEB.H264-SuccessfulCrab[TGx];\\192.168.0.99\Media\series\Dark.Matter.2024\Dark.Matter.2024.S01E09.1080p.WEB.H264-SuccessfulCrab[TGx]\dark.matter.2024.s01e09.1080p.web.h264-successfulcrab.mkv
SIM;4453,79;foundation.s02e06.1080p.web.h264-successfulcrab.mkv;foundation.S02E06.1080p.H265.mkv;Foundation.S02;\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\foundation.s02e06.1080p.web.h264-successfulcrab.mkv
SIM;4310,74;dark.matter.2024.s01e05.1080p.web.h264-successfulcrab.mkv;dark.matter.2024.S01E05.1080p.H265.mkv;Dark.Matter.2024;\\192.168.0.99\Media\series\Dark.Matter.2024\dark.matter.2024.s01e05.1080p.web.h264-successfulcrab.mkv
SIM;4266,74;Dark Matter 2024 S01E06 Superposition 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv;Dark.Matter.2024.S01E06.1080p.H265.mkv;Dark.Matter.2024;\\192.168.0.99\Media\series\Dark.Matter.2024\Dark Matter 2024 S01E06 Superposition 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv
SIM;4206,46;foundation.s02e03.1080p.web.h264-successfulcrab.mkv;foundation.S02E03.1080p.H265.mkv;Foundation.S02;\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\foundation.s02e03.1080p.web.h264-successfulcrab.mkv
SIM;4181,73;foundation.s02e10.1080p.web.h264-successfulcrab.mkv;foundation.S02E10.1080p.H265.mkv;Foundation.S02E10.1080p.WEB.H264-SuccessfulCrab[TGx];\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\Foundation.S02E10.1080p.WEB.H264-SuccessfulCrab[TGx]\foundation.s02e10.1080p.web.h264-successfulcrab.mkv
SIM;4176,18;foundation.s02e02.1080p.web.h264-nhtfs.mkv;foundation.S02E02.1080p.H265.mkv;Foundation.S02;\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\foundation.s02e02.1080p.web.h264-nhtfs.mkv
SIM;4167,94;Dark Matter 2024 S01E02 Trip of a Lifetime 1080p ATVP WEB-DL DDP5 1 Atmos H 264-FLUX.mkv;Dark.Matter.2024.S01E02.1080p.H265.mkv;Dark.Matter.2024;\\192.168.0.99\Media\series\Dark.Matter.2024\Dark Matter 2024 S01E02 Trip of a Lifetime 1080p ATVP WEB-DL DDP5 1 Atmos H 264-FLUX.mkv
